,artist_id,name,num_albums,num_buyers,num_buys,tags,num_recorded_sales,num_recorded_sales_by_related
10,10,6Blocc,96,765,4220,"'dnb', 'electronic', 'amen', 'amen break', 'breakbeats', 'choppage', 'dubstep', 'footwork', 'juke', 'jungle', 'junglist', 'loops', 'trap''808', 'electronic', 'dubstep', 'edit', 'electronic', 'experimental', 'footwork', 'juke', 'jungle', 'mash up', 'psychedelic', 'remix', 'rock', 'trap', 'urban''electronic', 'bass', 'dubstep', 'edit', 'footwork', 'hip hop', 'juke', 'jungle', 'mash up', 'trap''electronic', 'amen', 'dubstep', 'footwork', 'juke', 'jungle', 'mash up', 'ragga', 'remix', 'trap', 'urban''electronic', 'dancehall', 'dnb', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'ragga', 'ragga jungle', 'reggae', 'trap''electronic', 'dancehall', 'dnb', 'dubstep', 'footwork', 'juke', 'jungle', 'ragga', 'ragga jungle', 'refix', 'reggae', 'sample pack', 'trap''electronic', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'ragga', 'trap''electronic', 'dubstep', 'footwork', 'juke', 'jungle', 'trap', 'trap music''electronic', 'bleeps', 'dubstep', 'explosions', 'footwork', 'fx', 'horns', 'juke', 'jungle', 'lasers', 'ragga', 'rewind', 'sirens', 'sound clash', 'trap''electronic', 'bleeps', 'dubstep', 'footwork', 'fx', 'juke', 'jungle', 'lasers', 'loops', 'ragga', 'reggae', 'rewinds', 'sound clash', 'sounds', 'trap', 'vocals''electronic', 'dnb', 'dubstep', 'footwork', 'juke', 'jungle', 'mixtape', 'ragga', 'reggae', 'remix', 'soundclash', 'trap', 'urban''6blocc', 'electronic', 'bass', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'ragga', 'refix', 'reggae', 'remix', 'trap''808', 'electronic', 'aceyalone', 'dubstep', 'electronic', 'footwork', 'hip hop', 'juke', 'jungle', 'rap', 'remix', 'trap', 'urban', 'west coast''4x4', '6blocc', 'electronic', 'uk garage', 'bass music', 'bassline house', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'trap', 'urban''4/4', 'breaks.', 'electronic', 'bassline', 'dubstep', 'electronic', 'footwork', 'garage', 'house', 'juke', 'jungle', 'remix', 'trap', 'urban''electronic', 'amen', 'dnb', 'drum and bass', 'dubstep', 'footwork', 'halftime', 'hard step', 'juke', 'jungle', 'liquid', 'remix', 'trap''electronic', 'dnb', 'dubstep', 'edit', 'footwork', 'funk', 'hip hop', 'juke', 'jungle', 'remix', 'soul', 'trap', 'urban''electronic', 'rnb', 'drum and bass', 'dubstep', 'edit', 'electronic', 'footwork', 'juke', 'jungle', 'remix', 'soul', 'trap', 'urban''electronic', 'dnb', 'drum and bass', 'dubstep', 'edit', 'footwork', 'hip hop', 'juke', 'jungle', 'refix', 'remix', 'trap', 'urban', 'west coat''electronic', 'hip hop', 'rnb', 'classic', 'dnb', 'drum and bass', 'dubstep', 'footwork', 'juke', 'jungle', 'old school', 'soul', 'trap''6blocc', 'cali', 'electronic', 'west coast', 'dnb', 'dubstep', 'footwork', 'juke', 'jungle', 'mash up', 'remix', 'trap''electronic', 'classic', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'junglist', 'ragga', 'refix', 'reggae', 'remix', 'trap''electronic', 'latino', 'cumbia', 'dubstep', 'edit', 'footwork', 'juke', 'jungle', 'ragga', 'reggae', 'remix', 'trap', 'urban''6blocc', 'electronic', 'bass', 'dubstep', 'footwork', 'hip hop', 'juke', 'jungle', 'ragga', 'reggae', 'trap''electronic', 'bass music', 'dubstep', 'footwork', 'hip hop', 'juke', 'jungle', 'ragga', 'soul', 'trap', 'urban''808', 'electronic', 'bass music', 'dubstep', 'edit', 'electronic', 'footwork', 'juke', 'jungle', 'mash up', 'remix', 'trap''electronic', 'bass music', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'remix', 'trap', 'urban''electronic', 'dubstep', 'footwork', 'juke', 'jungle', 'trap''electronic', 'amen', 'dub', 'dubstep', 'footwork', 'juke', 'jungle', 'ragga', 'reggae', 'remix', 'roots', 'steppers', 'trap''808', 'electronic', 'bass', 'bass music', 'dubstep', 'footwork', 'juke', 'jungle', 'sample pack', 'sub', 'trap''6blocc', '808', 'electronic', 'remix', 'west coast', 'bass music', 'dubstep', 'footwork', 'juke', 'jungle', 'trap', 'urban''6blocc', 'daman', 'electronic', 'bass music', 'conscious music', 'dnb', 'dubstep', 'footwork', 'human rights', 'juke', 'jungle', 'trap''140', '6blocc', 'electronic', 'bass music', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'ragga', 'raggae', 'trap', 'urban''6blocc', 'digital 6', 'electronic', 'bass music', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'trap''electronic', 'dnb', 'drum and bass', 'dubstep', 'edit', 'footwork', 'juke', 'jungle', 'mash up', 'rap', 'remix', 'trap', 'urban', 'westcoast rap''electronic', 'amen', 'breakbeat', 'drum and bass', 'dubstep', 'footwork', 'juke', 'jungle', 'junglist', 'loops', 'trap''electronic', 'urban', 'dancehall', 'dubstep', 'footwork', 'juke', 'jungle', 'ragga', 'refix', 'reggae', 'remix', 'roots', 'trap''electronic', 'bass music', 'dnb', 'drum n bass', 'dubstep', 'electronic', 'footwork', 'free download', 'juke', 'jungle', 'remix', 'trap''6blocc', '808', 'electronic', 'boogie funk', 'dubstep', 'electro', 'footwork', 'juke', 'jungle', 'trap''electronic', 'dubstep', 'edit', 'footwork', 'juke', 'jungle', 'ragga', 'refix', 'reggae', 'remix', 'trap''6blocc', '808', 'electronic', 'bass', 'dubstep', 'edit', 'footwork', 'juke', 'jungle', 'remix', 'trap', 'urban''6blocc', '808', 'electronic', 'bass music', 'dubstep', 'footwork', 'juke', 'jungle', 'mash up', 'rave', 'remix', 'techno', 'trap''electronic', 'dark', 'darkside', 'deep', 'dnb', 'dubstep', 'footwork', 'juke', 'jungle', 'sub', 'trap''electronic', 'breakbeat', 'dubstep', 'electronic', 'footwork', 'future jungle', 'juke', 'jungle', 'los angeles', 'remix', 'trap', 'urban''electronic', 'dubstep', 'edit', 'footwork', 'hip hop', 'juke', 'jungle', 'mash up', 'remixes', 'trap''electronic', 'dubstep', 'edit', 'footwork', 'juke', 'jungle', 'mash up', 'ragga', 'refix', 'reggae', 'remix', 'trap''electronic', 'dubstep', 'edit', 'footwork', 'juke', 'jungle', 'ragga', 'refix', 'reggae', 'remix', 'trap''electronic', 'dubstep', 'edit', 'footwork', 'hip hop', 'juke', 'jungle', 'rap', 'refix', 'remix', 'trap''electronic', 'dubstep', 'footwork', 'juke', 'jungle', 'refix', 'reggae', 'remix', 'trap''electronic', 'dubplate', 'dubstep', 'footwork', 'hip hop', 'juke', 'jungle', 'ragga', 'refix', 'reggae', 'remix', 'trap''electronic', 'dubstep', 'footwork', 'juke', 'jungle', 'trap''electronic', 'dub', 'dubstep', 'footwork', 'hip hop', 'juke', 'jungle', 'ragga', 'reggae', 'remix', 'trap''170', 'electronic', 'bass music', 'dark', 'drum n bass', 'dubstep', 'electronic', 'experimental', 'footwork', 'juke', 'jungle', 'trap', 'urban''electronic', 'bass music', 'dubstep', 'electronic', 'footwork', 'future jungle', 'juke', 'jungle', 'junglist', 'trap', 'urban''electronic', 'dnb', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'r.a.w.', 'remix', 'trap', 'urban''electronic', 'latino', 'cumbia', 'dancehall', 'dubstep', 'edit', 'footwork', 'hip hop', 'juke', 'jungle', 'mash up', 'reggae', 'remix', 'trap', 'urban''electronic', 'dancehall', 'dubstep', 'edit', 'footwork', 'juke', 'jungle', 'mash up', 'ragga', 'refix', 'reggae', 'remix', 'trap', 'urban''electronic', 'bass', 'dubstep', 'edit', 'electronic', 'footwork', 'irie', 'juke', 'jungle', 'mash up', 'ragga', 'refix', 'reggae', 'remix', 'trap''electronic', 'dancehall', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'ragga', 'reggae', 'roots', 'trap', 'urban''electronic', 'breakbeats', 'dnb', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'ragga', 'reggae', 'trap', 'urban''electronic', 'ardcore', 'breakbeat', 'dubstep', 'electronica', 'footwork', 'hardcore', 'juke', 'jungle', 'old school', 'rave', 'techno', 'trap''electronic', 'classic', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'old school', 'rave', 'sample pack', 'samples', 'techno', 'trap''electronic', 'dnb', 'dubstep', 'footwork', 'juke', 'jungle', 'ragga', 'ragga jungle', 'reggae', 'trap''electronic', 'dubstep', 'footwork', 'juke', 'jungle', 'trap''electronic', 'bass music', 'darkside', 'dnb', 'drum and bass', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'samples', 'trap''electronic', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'ragga', 'ragga dubstep', 'reggae', 'sound clash', 'trap''electronic', 'west coast', 'bassline', 'dnb', 'dubstep', 'footwork', 'juke', 'jungle', 'roller', 'trap''electronic', 'amen', 'breakbeats', 'dubstep', 'footwork', 'juke', 'jungle', 'junglist', 'ragga', 'reggae', 'remix', 'trap', 'underground''electronic', 'dubstep', 'footwork', 'juke', 'jungle', 'trap''electronic', 'dubstep', 'footwork', 'juke', 'jungle', 'trap''electronic', 'dnb', 'drum and bass', 'dubstep', 'footwork', 'juke', 'jungle', 'reggae', 'soul', 'trap''808', 'electronic', 'miami bass', 'bass music', 'dubstep', 'edit', 'footwork', 'juke', 'jungle', 'remix', 'trap', 'urban''808', 'electronic', 'bass music', 'dubstep', 'edit', 'electronic', 'footwork', 'juke', 'jungle', 'miami bass', 'remix', 'trap''6blocc', 'electronic', 'acapella', 'bass', 'drum and bass', 'dubstep', 'footwork', 'juke', 'jungle', 'loops', 'samples', 'stems', 'trap''east la', 'electronic', 'cholo', 'dubstep', 'footwork', 'gangster', 'juke', 'jungle', 'oldies', 'remix', 'trap''808', 'electronic', 'bass music', 'dubstep', 'electronic', 'footwork', 'hip hop', 'juke', 'jungle', 'rap', 'trap', 'urban''808', 'electronic', 'bass', 'dnb', 'dubstep', 'electronic', 'footwork', 'hip hop', 'juke', 'jungle', 'trap', 'urban''808', 'electronic', 'bass', 'bass music', 'dub', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'sub', 'trap', 'urban''6blocc', 'electronic', 'dancehall', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'ragga', 'refix', 'reggae', 'remix', 'trap', 'urban''electronic', 'bass music', 'dancehall', 'dnb', 'dubstep', 'footwork', 'juke', 'jungle', 'minimal', 'ragga', 'reggae', 'trap''808', 'electronic', 'bass music', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'remix', 'trap', 'urban''electronic', 'bass music', 'dark', 'dnb', 'drum and bass', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'trap''160', '170', 'electronic', 'bass music', 'dubstep', 'footwork', 'footwork. drum and bass', 'house', 'juke', 'jungle', 'remix', 'trap''electronic', 'breakbeat', 'dark', 'darkness', 'dnb', 'drum n bass', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'trap', 'urban''electronic', 'dubstep', 'footwork', 'juke', 'jungle', 'trap''6blocc', 'electronic', 'vintage jungle', 'dubstep', 'footwork', 'juke', 'jungle', 'ragga', 'ragga jungle', 'reggae', 'soundclash', 'trap''6blocc', 'electronic', 'dubstep', 'footwork', 'juke', 'jungle', 'ragga', 'ragga jungle', 'reggae', 'trap', 'urban''electronic', 'urban', 'breakbeat', 'breakbeats', 'breaks', 'drums', 'dubstep', 'footwork', 'juke', 'jungle', 'loops', 'trap''electronic', 'breakbeats', 'breaks', 'drum funk', 'drums', 'dubstep', 'footwork', 'juke', 'jungle', 'loops', 'percussion', 'sample pack', 'trap''electronic', 'breakbeat', 'breaks', 'drum funk', 'drums', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'loops', 'trap''electronic', 'footwork jungle', 'breakbeat', 'breaks', 'dnb', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'trap''electronic', 'breakbeat', 'dnb', 'drum and bass', 'drum funk', 'dubstep', 'electronic', 'footwork', 'juke', 'jungle', 'trap', 'urban''electronic', 'dancehall', 'dubstep', 'footwork', 'juke', 'jungle', 'ragga', 'reggae', 'sample pack', 'samples', 'soundclash', 'trap', 'urban''electronic', 'dubstep', 'footwork', 'juke', 'jungle', 'loops', 'mixtape', 'ragga', 'reggae', 'samples', 'trap', 'urban''electronic', 'dubstep', 'effects', 'footwork', 'juke', 'jungle', 'ragga', 'reggae', 'samples', 'soundclash', 'trap', 'vocals''6blocc', 'electronic', 'dubstep', 'edits', 'footwork', 'gangster rap', 'hip hop', 'juke', 'jungle', 'mash up', 'ragga', 'reggae', 'remix', 'trap'",49.0,463
11,11,6Blocc and J5,1,21,42,"'electronic', 'cumbia', 'cumbia bass', 'dnb', 'dubstep', 'edm', 'footwork', 'juke', 'jungle', 'trap', 'urban'",0.0,436
12,12,6Blocc and Junior Demus,1,13,26,"'electronic', 'urban', 'bass', 'dancehall', 'dubstep', 'footwork', 'juke', 'jungle', 'ragga', 'reggae', 'trap'",0.0,337
13,13,6Blocc and Wulf,1,11,22,"'electronic', 'electronica', 'bass', 'darkside', 'dnb', 'drum and bass', 'dubstep', 'footwork', 'juke', 'jungle', 'ninja', 'sub', 'trap'",0.0,340
14,14,"6Blocc, Capitol City Rockers, Johnny Osbourne, Jigsy King, Junior Tiger, Sweetie Irie",1,11,22,"'electronic', 'big bass', 'dubstep', 'footwork', 'juke', 'jungle', 'trap', 'urban'",0.0,340
15,15,77 Rise Recordings,3,28,43,"'hip-hop', 'instrumental hip-hop', 'lofi hip hop', 'rap', 'beattape''hip-hop', 'instrumental hip-hop', 'rap', 'beattape''hip-hop', 'instrumental hip-hop', 'lofi hip hop', 'rap', 'beattape', 'roland sp-404', 'underground hip hop'",22.0,314
16,16,8 Bit Weapon,6,425,861,"'8-bit', 'amiga', 'apple ii', 'atari', 'c64', 'chiptune', 'electronic', 'nes', 'chipmusic', 'commodore 64', 'dance', 'electro', 'game boy', 'gameboy', 'nintendo', 'video game music''8-bit', 'chiptune', 'electronic', 'jean michel jarre', 'sid', 'vangelis', 'ambient', 'ambient electronic', 'c64', 'chipmusic', 'commodore 64', 'dance', 'dark ambient', 'electro', 'relaxation', 'video game music''8 bit', '8bit', 'atari 2600', 'chiptune', 'electronic', 'gameboy', 'nes', 'nintendo', 'amiga', 'chipmusic', 'commodore 64', 'dance', 'electro', 'synthpop', 'video game music''64', '8 bit', '8 bits', '8bit', 'c64', 'chiptune', 'commodore', 'electronic', 'chipmusic', 'chiptune', 'dance', 'electro', 'nes', 'rock', 'video game music''8-bit', 'amiga', 'apple ii', 'atari', 'chiptune', 'electronic', 'nes', 'chipmusic', 'commodore 64', 'dance', 'electro', 'game boy', 'gameboy', 'nintendo', 'video game music''chiptune', 'dlc', 'electronic', 'chipmusic', 'dance', 'electro', 'video game music', 'videogame music'",30.0,233
17,17,8 Bit Weapon & ComputeHer,2,222,303,"'8-bit', 'amiga', 'apple ii', 'atari', 'c64', 'chiptune', 'electronic', 'nes', 'chipmusic', 'commodore 64', 'dance', 'electro', 'game boy', 'gameboy', 'nintendo', 'video game music''8 bit', '8bit', 'atari 2600', 'chiptune', 'electronic', 'gameboy', 'nes', 'nintendo', 'vic20', 'amiga', 'atari', 'chipmusic', 'commodore 64', 'dance', 'electro', 'video game music'",0.0,122
18,18,90's Bambino,1,13,26,"'experimental', 'broken machine films', 'crystal castles', 'drone', 'electronic', 'goth', 'hip-hop', 'illuminated paths', 'jazz', 'pop', 'rap', 'rock', 'sample', 'underground', 'vaporwave'",0.0,51
19,19,A K A N E I N T O K I O,1,46,46,"'electronic', 'bedroom electronica', 'deep vaporwave', 'future funk', 'late night-lo-fi', 'vaporwave'",0.0,168
